Rk,Player,Pos,G,MP,eFG%,FT%,TRB,AST,STL,BLK,TOV,PF,PTS
102,Zach Collins\colliza01,C,66,1045,.458,.643,221,52,17,31,58,133,292
103,Kyle Collinsworth\colliky01,SF,32,480,.404,.525,107,56,17,9,24,44,101
104,Darren Collison\collida01,PG,69,2018,.571,.882,178,368,92,15,86,122,855
105,Nick Collison\collini01,PF,15,75,.684,.385,20,4,0,0,7,7,31
106,Mike Conley\conlemi01,PG,12,373,.452,.803,27,49,12,3,18,24,205
107,Pat Connaughton\connapa01,SG,82,1488,.518,.841,161,91,23,22,43,120,441
108,Quinn Cook\cookqu01,PG,33,740,.575,.880,82,89,12,1,32,59,312
109,Charles Cooke\cookech01,SG,13,38,.179,.500,2,1,1,0,1,0,6
110,Jack Cooley\cooleja01,PF,7,87,.481,.737,30,6,1,0,3,13,40
111,Matt Costello\costema01,C,4,32,.500,,9,2,2,2,1,7,4
112,DeMarcus Cousins\couside01,C,48,1737,.530,.746,617,257,79,76,242,183,1210
113,Robert Covington\covinro01,SF,80,2532,.534,.853,433,156,137,72,126,238,1009
114,Allen Crabbe\crabbal01,SG,75,2197,.529,.852,324,117,47,35,78,168,990
115,Torrey Craig\craigto01,SF,39,629,.515,.629,127,25,12,15,20,63,163
116,Jamal Crawford\crawfja01,SG,80,1653,.485,.903,99,185,40,9,95,85,822
117,Jordan Crawford\crawfjo02,SG,5,53,.593,1.000,4,13,1,1,5,7,33
118,Jae Crowder\crowdja01,SF,80,2090,.486,.818,275,99,64,21,74,187,773
118,Jae Crowder\crowdja01,SF,53,1346,.500,.848,173,58,41,12,42,124,454
118,Jae Crowder\crowdja01,SF,27,744,.468,.768,102,41,23,9,32,63,319
119,Dante Cunningham\cunnida01,SF,73,1562,.530,.596,298,48,39,30,33,111,417
119,Dante Cunningham\cunnida01,SF,51,1115,.518,.556,193,26,27,16,16,75,253
119,Dante Cunningham\cunnida01,SF,22,447,.550,.688,105,22,12,14,17,36,164
120,Stephen Curry\curryst01,PG,51,1631,.618,.921,261,310,80,8,153,114,1346
121,Troy Daniels\danietr01,SG,79,1622,.563,.875,127,48,26,5,56,137,703
122,Anthony Davis\davisan02,PF,75,2727,.552,.828,832,174,115,193,162,159,2110
123,Deyonta Davis\davisde01,C,62,943,.608,.667,250,40,15,39,32,125,360
124,Ed Davis\davised01,C,78,1471,.582,.667,575,40,32,52,66,188,414
125,Dewayne Dedmon\dedmode01,C,62,1542,.577,.779,489,90,40,51,86,162,617
126,Sam Dekker\dekkesa01,PF,73,883,.514,.661,174,38,24,9,33,71,303
127,Malcolm Delaney\delanma01,PG,54,1014,.463,.804,100,163,35,6,66,82,338
128,Matthew Dellavedova\dellama01,PG,38,712,.457,.926,64,145,14,0,49,67,164
129,Luol Deng\denglu01,SF,1,13,.500,,0,1,1,0,1,0,2
130,DeMar DeRozan\derozde01,SG,80,2711,.488,.825,315,417,85,22,175,151,1840
131,Cheick Diallo\diallch01,PF,52,581,.580,.758,211,19,11,21,28,82,254
132,Gorgui Dieng\dienggo01,C,79,1333,.504,.775,360,71,45,39,59,147,470
133,Spencer Dinwiddie\dinwisp01,PG,80,2306,.471,.813,259,524,68,23,128,186,1007
134,Tyler Dorsey\dorsety01,SG,56,974,.471,.714,130,79,17,5,37,63,405
135,Damyean Dotson\dotsoda01,SG,44,474,.516,.696,84,31,12,2,17,34,182
136,Milton Doyle\doylemi01,SG,10,125,.319,.500,18,10,6,2,2,13,34
137,PJ Dozier\doziepj01,PG,2,3,.500,,1,0,0,0,1,1,2
138,Goran Dragic\dragigo01,PG,75,2378,.502,.801,307,359,63,12,166,180,1296
139,Larry Drew\drewla02,PG,10,70,.354,,3,10,0,0,3,6,17
139,Larry Drew\drewla02,PG,3,15,.143,,1,2,0,0,1,2,2
139,Larry Drew\drewla02,PG,7,55,.441,,2,8,0,0,2,4,15
140,Andre Drummond\drumman01,C,78,2625,.529,.605,1247,237,114,127,200,250,1171
141,Jared Dudley\dudleja01,PF,48,686,.512,.771,94,78,24,11,28,85,152
142,Kris Dunn\dunnkr01,PG,52,1525,.462,.737,221,310,104,27,150,174,699
143,Kevin Durant\duranke01,PF,68,2325,.586,.889,464,366,50,119,207,133,1792
144,Jarell Eddie\eddieja01,SF,3,9,.000,,1,0,1,0,0,0,0
144,Jarell Eddie\eddieja01,SF,2,6,.000,,1,0,1,0,0,0,0
144,Jarell Eddie\eddieja01,SF,1,3,.000,,0,0,0,0,0,0,0
145,Henry Ellenson\ellenhe01,PF,38,329,.432,.862,81,20,5,0,18,22,151
146,Wayne Ellington\ellinwa01,SG,77,2041,.569,.859,218,79,53,8,52,94,864
147,Joel Embiid\embiijo01,C,63,1912,.514,.769,690,199,40,111,234,209,1445
148,James Ennis\ennisja01,SF,72,1604,.540,.836,224,71,47,18,56,134,512
148,James Ennis\ennisja01,SF,45,1053,.554,.877,157,49,32,12,38,81,310
148,James Ennis\ennisja01,SF,27,551,.522,.767,67,22,15,6,18,53,202
149,Tyler Ennis\ennisty01,PG,54,683,.451,.759,95,105,30,10,38,75,224
150,Jawun Evans\evansja01,PG,48,778,.381,.776,84,100,36,6,44,97,231
151,Jeremy Evans\evansje01,SF,1,5,1.000,,1,0,0,0,1,1,2
152,Tyreke Evans\evansty01,PG,52,1607,.523,.785,265,269,57,17,117,96,1010
153,Dante Exum\exumda01,PG,14,235,.511,.806,26,43,8,3,20,20,114
154,Kenneth Faried\farieke01,PF,32,461,.514,.706,153,18,12,13,23,51,188
155,Derrick Favors\favorde01,C,77,2153,.573,.651,552,102,54,82,88,164,944
156,Kay Felder\feldeka01,PG,16,140,.329,.917,18,20,3,1,16,11,57
156,Kay Felder\feldeka01,PG,14,134,.333,.917,14,20,3,1,15,11,55
156,Kay Felder\feldeka01,PG,2,6,.250,,4,0,0,0,1,0,2
157,Cristiano Felicio\feliccr01,C,55,977,.591,.667,233,55,16,11,54,104,308
