Rk,Player,Pos,G,GS,MP,FGA,eFG%,FTA,FT%,TRB,AST,STL,BLK,TOV,PF,PTS
85,Clint Capela\capelca01,C,74,74,2034,676,.652,257,.560,802,68,58,137,103,185,1026
86,DeMarre Carroll\carrode01,SF,73,73,2180,785,.506,246,.764,479,147,59,30,103,165,983
87,Vince Carter\cartevi01,SF,58,5,1026,283,.504,37,.757,148,69,42,26,36,96,313
88,Michael Carter-Williams\cartemi01,PG,52,2,835,229,.362,89,.820,138,116,44,23,52,99,239
89,Alex Caruso\carusal01,PG,37,7,562,116,.487,30,.700,65,75,23,10,42,52,134
90,Omri Casspi\casspom01,SF,53,7,740,207,.604,69,.725,200,51,18,19,37,71,300
91,Willie Cauley-Stein\caulewi01,C,73,58,2044,773,.504,247,.619,510,172,77,67,109,185,932
92,Tyler Cavanaugh\cavanty01,PF,39,1,518,152,.546,21,.810,127,27,9,4,14,61,183
93,Mario Chalmers\chalmma01,PG,66,10,1421,443,.439,138,.855,157,197,79,14,117,179,507
94,Tyson Chandler\chandty01,C,46,46,1151,187,.647,93,.624,418,53,16,27,59,106,300
95,Wilson Chandler\chandwi01,SF,74,71,2346,631,.515,114,.772,398,159,43,39,92,156,738
96,Marquese Chriss\chrisma01,PF,72,49,1527,477,.482,158,.608,395,83,51,70,107,205,556
97,Ian Clark\clarkia01,SG,74,2,1455,495,.511,59,.763,127,110,33,10,57,120,551
98,Jordan Clarkson\clarkjo01,SG,81,2,1888,954,.509,190,.800,217,221,58,6,127,107,1124
98,Jordan Clarkson\clarkjo01,SG,53,2,1256,667,.499,132,.795,159,173,39,3,95,63,771
98,Jordan Clarkson\clarkjo01,SG,28,0,632,287,.533,58,.810,58,48,19,3,32,44,353
99,Gian Clavell\clavegi01,SG,7,0,64,18,.500,2,1.000,7,3,2,0,2,8,20
100,Antonius Cleveland\clevean01,SG,17,0,123,21,.452,6,.667,14,2,7,5,7,23,23
100,Antonius Cleveland\clevean01,SG,13,0,81,14,.286,4,.500,10,2,6,4,2,11,10
100,Antonius Cleveland\clevean01,SG,4,0,42,7,.786,2,1.000,4,0,1,1,5,12,13
101,John Collins\collijo01,PF,74,26,1785,545,.591,186,.715,541,98,47,80,105,215,777
102,Zach Collins\colliza01,C,66,1,1045,289,.458,42,.643,221,52,17,31,58,133,292
103,Kyle Collinsworth\colliky01,SF,32,2,480,99,.404,40,.525,107,56,17,9,24,44,101
104,Darren Collison\collida01,PG,69,64,2018,638,.571,144,.882,178,368,92,15,86,122,855
105,Nick Collison\collini01,PF,15,0,75,19,.684,13,.385,20,4,0,0,7,7,31
106,Mike Conley\conlemi01,PG,12,12,373,168,.452,66,.803,27,49,12,3,18,24,205
107,Pat Connaughton\connapa01,SG,82,5,1488,390,.518,44,.841,161,91,23,22,43,120,441
108,Quinn Cook\cookqu01,PG,33,18,740,252,.575,25,.880,82,89,12,1,32,59,312
109,Charles Cooke\cookech01,SG,13,0,38,14,.179,2,.500,2,1,1,0,1,0,6
110,Jack Cooley\cooleja01,PF,7,0,87,27,.481,19,.737,30,6,1,0,3,13,40
111,Matt Costello\costema01,C,4,0,32,4,.500,0,,9,2,2,2,1,7,4
