Rk,Player,Pos,G,GS,MP,FGA,eFG%,FTA,FT%,TRB,AST,STL,BLK,TOV,PF,PTS
446,Ramon Sessions\sessira01,PG,15,0,225,64,.438,42,.762,20,50,7,1,15,15,88
447,Iman Shumpert\shumpim01,SG,14,6,276,58,.440,15,.733,41,17,9,4,16,22,62
448,Pascal Siakam\siakapa01,PF,81,5,1679,498,.537,87,.621,364,159,62,42,67,166,589
449,Xavier Silas\silasxa01,SG,2,0,7,3,.000,0,,2,0,1,0,0,1,0
450,Ben Simmons\simmobe01,PG,81,81,2732,998,.545,341,.560,659,661,140,70,278,211,1279
451,Jonathon Simmons\simmojo02,SG,69,50,2029,761,.511,241,.768,239,171,58,16,146,175,962
452,Kobi Simmons\simmoko01,PG,32,12,643,189,.452,25,1.000,50,68,18,5,44,61,196
453,Kyle Singler\singlky01,SF,12,0,59,21,.381,13,.538,10,2,1,0,3,4,23
454,Marcus Smart\smartma01,SG,54,11,1614,515,.440,133,.729,189,259,71,23,129,133,550
455,Dennis Smith\smithde03,PG,69,69,2049,1024,.446,193,.694,260,358,71,18,194,152,1048
456,Ish Smith\smithis01,PG,82,35,2043,801,.507,116,.698,224,360,64,20,108,140,894
457,J.R. Smith\smithjr01,SG,80,61,2244,595,.524,56,.696,235,141,68,11,81,161,662
458,Jason Smith\smithja02,C,33,2,285,115,.409,21,.905,53,14,3,13,16,44,113
459,Josh Smith\smithjo03,PF,3,0,12,4,.250,0,,4,0,0,0,0,3,2
460,Tony Snell\snellto01,SG,75,59,2053,425,.562,48,.792,141,98,47,28,36,115,516
461,Marreese Speights\speigma01,C,52,3,675,349,.519,55,.727,133,40,8,22,40,106,402
462,Nik Stauskas\stausni01,SG,41,0,523,154,.519,29,.724,64,39,9,4,26,24,181
462,Nik Stauskas\stausni01,SG,6,0,45,4,.250,2,1.000,1,1,4,0,4,3,4
462,Nik Stauskas\stausni01,SG,35,0,478,150,.527,27,.704,63,38,5,4,22,21,177
463,Lance Stephenson\stephla01,SG,82,7,1850,709,.475,127,.661,424,235,46,17,131,177,757
464,David Stockton\stockda01,PG,3,0,9,3,1.000,4,1.000,0,0,0,0,1,3,10
465,Julyan Stone\stoneju01,SG,23,0,175,13,.692,2,.500,29,26,4,2,7,21,19
466,Edmond Sumner\sumneed01,PG,1,0,2,1,1.000,0,,1,0,0,0,0,1,2
467,Caleb Swanigan\swanica01,PF,27,3,189,60,.408,18,.667,54,14,5,3,18,37,61
468,Jayson Tatum\tatumja01,SF,80,80,2438,835,.538,258,.826,402,128,83,58,114,170,1112
469,Isaiah Taylor\taylois01,PG,67,9,1167,390,.444,141,.702,94,206,34,10,84,116,445
470,Jeff Teague\teaguje01,PG,70,70,2311,794,.499,239,.845,209,492,102,23,177,171,994
471,Marquis Teague\teaguma01,PG,3,0,74,16,.281,5,.400,6,13,4,0,3,5,11
472,Mirza Teletovic\teletmi01,PF,10,0,159,57,.623,0,,23,10,4,1,7,14,71
473,Garrett Temple\templga01,SG,65,35,1615,476,.512,78,.769,152,124,57,27,79,135,547
474,Milos Teodosic\teodomi01,PG,45,36,1134,360,.542,46,.848,126,209,23,5,97,103,429
475,Jason Terry\terryja01,SG,51,4,814,154,.513,9,.889,48,59,42,13,25,52,166
476,Daniel Theis\theisda01,C,63,3,936,233,.579,81,.753,274,56,30,48,56,157,331
477,Isaiah Thomas\thomais02,PG,32,15,862,421,.438,131,.893,67,153,15,3,95,58,486
477,Isaiah Thomas\thomais02,PG,15,14,406,194,.418,68,.868,31,68,9,2,41,25,221
477,Isaiah Thomas\thomais02,PG,17,1,456,227,.456,63,.921,36,85,6,1,54,33,265
478,Lance Thomas\thomala01,PF,73,31,1353,267,.476,53,.830,175,44,30,14,40,134,298
479,Klay Thompson\thompkl01,SG,73,73,2506,1179,.585,98,.837,277,185,55,34,128,117,1461
480,Tristan Thompson\thomptr01,C,53,22,1072,235,.562,79,.544,352,33,16,17,36,102,307
481,Sindarius Thornwell\thornsi01,SG,73,17,1156,233,.479,88,.670,140,68,48,25,53,125,282
482,Anthony Tolliver\tollian01,PF,79,14,1757,472,.632,133,.797,241,90,32,21,58,144,703
483,Karl-Anthony Towns\townska01,C,82,82,2918,1172,.596,402,.858,1012,199,64,115,159,285,1743
484,P.J. Tucker\tuckepj01,PF,82,34,2281,441,.520,60,.717,457,77,78,26,74,205,502
485,Evan Turner\turneev01,SF,79,40,2034,577,.484,107,.850,244,173,47,29,99,163,649
486,Myles Turner\turnemy01,C,65,62,1836,639,.523,206,.777,417,87,38,118,96,186,828
487,Ekpe Udoh\udohek01,C,63,3,810,120,.500,56,.750,150,53,43,74,20,105,162
488,Tyler Ulis\ulisty01,PG,71,43,1658,551,.426,101,.832,128,311,70,7,127,120,554
489,Jonas Valanciunas\valanjo01,C,77,77,1727,687,.590,211,.806,660,81,29,69,115,192,980
490,Denzel Valentine\valende01,SG,77,37,2095,721,.517,51,.745,393,244,65,11,99,185,783
491,Fred VanVleet\vanvlfr01,PG,76,0,1520,545,.525,101,.832,184,243,68,19,74,130,656
492,Rashad Vaughn\vaughra01,SG,28,0,212,56,.536,6,.667,21,13,5,3,6,15,64
492,Rashad Vaughn\vaughra01,SG,22,0,173,50,.550,6,.667,17,12,4,3,4,12,59
492,Rashad Vaughn\vaughra01,SG,1,0,4,0,,0,,0,1,0,0,0,1,0
492,Rashad Vaughn\vaughra01,SG,5,0,35,6,.417,0,,4,0,1,0,2,2,5
493,Noah Vonleh\vonleno01,PF,54,16,875,234,.487,58,.621,311,34,19,17,31,68,264
493,Noah Vonleh\vonleno01,PF,33,12,476,96,.500,31,.742,167,13,6,11,15,42,119
493,Noah Vonleh\vonleno01,PF,21,4,399,138,.478,27,.481,144,21,13,6,16,26,145
494,Nikola Vucevic\vucevni01,C,57,57,1683,840,.513,94,.819,523,191,56,62,109,144,939
495,Dwyane Wade\wadedw01,SG,67,3,1536,682,.462,189,.714,252,228,61,47,140,124,765
495,Dwyane Wade\wadedw01,SG,46,3,1069,435,.482,134,.701,181,163,42,32,92,84,513
495,Dwyane Wade\wadedw01,SG,21,0,467,247,.427,55,.745,71,65,19,15,48,40,252
496,Dion Waiters\waitedi01,SG,30,30,918,410,.461,69,.739,77,113,23,9,70,61,429
497,Kemba Walker\walkeke02,PG,80,80,2736,1363,.516,420,.864,248,444,91,24,179,98,1770
498,John Wall\walljo01,PG,41,41,1410,667,.466,241,.726,150,393,57,45,158,80,797
499,Tyrone Wallace\wallaty01,PG,30,19,851,247,.466,78,.782,105,71,27,13,46,83,291
500,Taurean Waller-Prince\princta02,SF,82,82,2464,975,.516,180,.844,389,214,85,42,191,168,1158
501,Derrick Walton\waltode01,PG,16,0,147,25,.460,6,1.000,16,16,7,3,2,7,29
502,Jameel Warney\warneja01,PF,3,0,27,12,.583,5,.600,9,0,0,0,1,2,17
503,T.J. Warren\warretj01,SF,65,65,2142,1063,.507,255,.757,333,85,65,41,85,149,1271
504,Travis Wear\weartr01,SF,17,0,228,72,.465,8,1.000,38,7,4,5,6,30,75
505,James Webb\webbja01,SF,10,0,120,24,.333,0,,24,4,1,0,4,10,16
506,Briante Weber\weberbr01,PG,18,0,237,43,.488,10,.800,35,22,18,5,15,28,50
506,Briante Weber\weberbr01,PG,13,0,118,22,.500,4,1.000,18,13,10,3,7,18,26
506,Briante Weber\weberbr01,PG,5,0,119,21,.476,6,.667,17,9,8,2,8,10,24
507,David West\westda01,C,73,0,999,378,.575,79,.759,238,138,47,75,80,120,495
508,Russell Westbrook\westbru01,PG,80,80,2914,1687,.477,566,.737,804,820,147,20,381,200,2028
509,Andrew White\whitean01,SF,15,0,209,73,.466,4,.250,34,6,3,1,8,12,69
510,Derrick White\whitede01,PG,17,0,139,33,.606,20,.700,26,9,4,3,6,8,54
511,Okaro White\whiteok01,PF,6,4,80,16,.563,3,.667,11,2,1,1,1,6,20
512,Isaiah Whitehead\whiteis01,PG,16,0,180,86,.506,19,.684,26,20,8,2,24,23,100
513,Hassan Whiteside\whiteha01,C,54,54,1364,578,.542,182,.703,618,54,37,94,92,131,754
514,Andrew Wiggins\wiggian01,SF,82,82,2979,1300,.481,314,.643,358,160,91,51,138,163,1452
515,Jacob Wiley\wileyja01,PF,5,0,33,4,.375,2,.500,11,2,1,0,0,4,4
516,Damien Wilkins\wilkida02,SF,19,1,152,39,.385,4,.750,16,9,2,1,5,7,33
517,Alan Williams\willial03,PF,5,0,70,18,.389,9,.667,22,8,5,1,7,13,20
518,C.J. Williams\willicj01,SG,38,17,707,197,.497,16,.813,56,43,31,13,20,63,209
519,Derrick Williams\willide02,PF,2,0,9,4,.250,0,,1,0,0,0,0,0,2
520,Lou Williams\willilo02,SG,79,19,2589,1337,.505,491,.880,198,417,85,19,234,106,1782
521,Marvin Williams\willima02,PF,78,78,2006,563,.570,123,.829,370,96,56,38,66,116,744
522,Matt Williams\willima05,SG,3,0,11,6,.417,0,,1,0,0,0,1,1,5
523,Troy Williams\willitr02,SF,21,1,307,109,.518,30,.667,63,16,20,4,19,34,133
523,Troy Williams\willitr02,SF,4,0,17,9,.222,3,.333,4,1,1,0,1,2,5
523,Troy Williams\willitr02,SF,17,1,290,100,.545,27,.704,59,15,19,4,18,32,128
524,D.J. Wilson\wilsodj01,PF,22,0,71,16,.625,2,.500,10,3,3,1,4,7,21
525,Jamil Wilson\wilsoja02,SF,15,10,274,81,.636,4,.500,32,10,5,8,8,34,105
526,Justise Winslow\winslju01,PF,68,25,1680,488,.474,104,.635,370,148,54,33,77,140,529
527,Jeff Withey\witheje01,C,9,0,39,16,.438,2,.500,10,0,0,3,2,3,15
528,Nate Wolters\woltena01,PG,5,0,19,6,.167,0,,2,1,0,0,0,1,2
529,Brandan Wright\wrighbr03,PF,28,1,381,102,.578,33,.636,95,13,13,26,8,32,139
529,Brandan Wright\wrighbr03,PF,27,1,366,99,.576,33,.636,93,13,13,25,8,29,135
529,Brandan Wright\wrighbr03,PF,1,0,15,3,.667,0,,2,0,0,1,0,3,4
530,Delon Wright\wrighde01,PG,69,4,1433,432,.530,117,.829,198,200,72,33,78,81,555
531,Guerschon Yabusele\yabusgu01,PF,33,4,235,61,.525,22,.682,52,16,4,5,12,23,79
532,James Young\youngja01,SG,6,0,61,14,.464,6,.667,2,2,0,0,1,4,17
533,Joe Young\youngjo01,PG,53,1,558,186,.497,29,.759,63,39,14,1,26,39,207
534,Nick Young\youngni01,SG,80,8,1393,488,.538,65,.862,125,36,38,7,39,100,581
535,Thaddeus Young\youngth01,PF,81,81,2607,864,.521,92,.598,512,152,135,36,105,175,955
536,Cody Zeller\zelleco01,C,33,0,627,156,.551,85,.718,177,31,14,21,33,81,233
537,Tyler Zeller\zellety01,C,66,34,1109,334,.575,79,.722,305,47,15,35,47,126,441
537,Tyler Zeller\zellety01,C,42,33,703,229,.568,60,.667,194,28,8,21,35,78,300
537,Tyler Zeller\zellety01,C,24,1,406,105,.590,19,.895,111,19,7,14,12,48,141
538,Paul Zipser\zipsepa01,SF,54,12,824,234,.425,25,.760,131,46,20,15,43,86,218
539,Ante Zizic\zizican01,C,32,2,214,67,.731,29,.724,60,5,2,13,11,30,119
540,Ivica Zubac\zubaciv01,C,43,0,410,122,.500,51,.765,123,25,8,15,26,47,161


Provided by <a href="https://www.sports-reference.com/sharing.html?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool">Basketball-Reference.com</a>: <a href="https://www.basketball-reference.com/leagues/NBA_2018_totals.html?sr&utm_source=direct&utm_medium=Share&utm_campaign=ShareTool#totals_stats">View Original Table</a><br>Generated 12/6/2018.
